Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
F1030,Barley,309.2038208,Rain-fed,9.979233543,2.184959164,54.42528072,Loamy,Zaid,64866.35275
F1031,Barley,151.4289711,Rain-fed,7.77162808,0.810146927,41.40278876,Silty,Kharif,34702.27799
F1032,Barley,294.8067285,Manual,7.362824151,0.847944795,27.37851486,Silty,Zaid,58367.36616
F1033,Barley,85.63773048,Rain-fed,8.007147451,0.969111347,31.98383647,Clay,Kharif,64822.54258
F1034,Barley,245.7586499,Rain-fed,2.28815187,4.281978344,32.39747705,Clay,Rabi,80414.18071
F1035,Barley,270.968822,Sprinkler,2.840901339,4.598087892,35.89272462,Peaty,Rabi,37460.51111
F1036,Barley,35.39353304,Rain-fed,7.42657674,1.052648518,37.07155621,Silty,Kharif,39801.29771
F1037,Barley,174.9360963,Flood,5.445833384,1.561577156,51.99128088,Loamy,Zaid,48457.86618
F1038,Barley,75.8631917,Sprinkler,7.791717627,1.244842297,33.97547996,Clay,Kharif,48654.88754
F1039,Barley,41.05373553,Sprinkler,1.926244277,1.338443958,38.72927314,Loamy,Zaid,81252.92049
F1040,Barley,495.0805139,Manual,5.828332163,4.268708551,44.99903948,Loamy,Rabi,47551.14624
F1041,Barley,167.953384,Rain-fed,4.40939409,1.994658857,35.1090379,Silty,Zaid,74316.86444
F1042,Barley,406.8384785,Manual,5.113001974,1.901499188,53.46259253,Silty,Rabi,64599.16951
F1000,Blackgram,290.9142453,Flood,5.096293165,1.059969008,30.10596376,Silty,Kharif,32179.3858
F1001,Blackgram,420.672412,Rain-fed,5.701911185,4.803870639,20.20328559,Peaty,Rabi,75616.67778
F1002,Blackgram,208.1469358,Flood,6.800919856,4.09095195,47.82857171,Silty,Zaid,55796.84406
F1003,Blackgram,387.7465748,Sprinkler,6.851506154,1.665421932,21.95134327,Peaty,Zaid,90505.07749
F1004,Blackgram,216.7976692,Sprinkler,4.282275245,3.14849403,41.30410078,Loamy,Zaid,63124.69347
F1005,Blackgram,183.3969745,Flood,6.046094746,4.920487318,58.4848789,Clay,Zaid,97773.53995
F1006,Blackgram,479.7273169,Sprinkler,5.329556955,4.478895402,24.3787544,Peaty,Rabi,42986.7861
F1007,Blackgram,100.3417511,Manual,8.964985209,3.203593009,55.77919724,Silty,Zaid,90803.62176
F1008,Blackgram,54.26511068,Rain-fed,5.772386194,4.566757852,59.65901341,Clay,Rabi,84361.7797
F1009,Blackgram,387.7831035,Manual,4.969289456,4.951332094,22.46068105,Clay,Rabi,83964.52913
F1010,Blackgram,43.44235562,Rain-fed,4.640369047,3.845087703,55.31625077,Silty,Rabi,89134.82597
F1011,Blackgram,420.1687054,Sprinkler,6.151849835,0.792438843,40.64316082,Peaty,Rabi,83271.67937
F1012,Blackgram,224.2247642,Manual,8.235792815,2.307111064,56.26054878,Loamy,Kharif,73835.42251
F1013,Blackgram,458.6017019,Sprinkler,5.845613413,4.270215809,42.85275768,Loamy,Kharif,39187.14144
F1014,Blackgram,363.5511019,Rain-fed,6.954896576,1.537561381,46.4844804,Peaty,Zaid,32276.83256
F1015,Blackgram,309.0982868,Flood,7.640701902,4.23789133,41.75115632,Clay,Kharif,94459.34935
F1016,Blackgram,475.1603306,Flood,5.681512989,1.041524429,54.57971521,Clay,Kharif,73165.52202
F1017,Blackgram,204.3581928,Manual,4.84135351,0.711254107,49.35639676,Clay,Zaid,85757.61037
F1018,Blackgram,477.5025989,Sprinkler,8.889988401,2.228407752,40.85041249,Clay,Zaid,63706.56461
F1019,Blackgram,76.15062594,Sprinkler,4.757554756,0.665293718,54.72643216,Peaty,Zaid,38211.57323
F1020,Blackgram,247.0399215,Manual,5.157485655,4.807716183,29.81142129,Clay,Kharif,38763.00545
F1021,Blackgram,142.256499,Flood,9.91307182,4.217925631,26.29362639,Silty,Kharif,77989.57011
F1022,Blackgram,274.5229617,Rain-fed,1.002137712,4.103463592,26.41600421,Clay,Zaid,60121.41264
F1023,Blackgram,89.38680017,Manual,2.669256186,3.334000653,33.36035515,Loamy,Rabi,44036.73087
F1024,Blackgram,422.3495336,Rain-fed,4.455675009,1.473458104,29.54760125,Clay,Zaid,64411.61827
F1025,Blackgram,424.7398462,Flood,9.393309185,2.83217165,57.20361402,Peaty,Rabi,34494.6256
F1026,Blackgram,478.0657932,Sprinkler,1.630267352,3.187733326,24.23336375,Loamy,Rabi,70737.99813
F1027,Blackgram,85.78934903,Flood,1.085368903,2.862641754,47.95962952,Peaty,Zaid,48829.53831
F1028,Blackgram,315.4329499,Manual,1.474154524,1.671050156,27.56886159,Peaty,Zaid,85829.13704
F1029,Blackgram,242.3762813,Sprinkler,1.796890696,2.818615659,55.26548531,Loamy,Zaid,51725.33712
F1030,Blackgram,178.7480287,Manual,1.338370959,2.710338534,58.45261153,Peaty,Kharif,61865.41044
F1031,Blackgram,182.254679,Manual,5.318031942,4.983510991,38.61880035,Peaty,Rabi,30813.43779
F1032,Blackgram,212.2688398,Flood,6.226814865,4.538462666,55.16285921,Clay,Kharif,35071.28215
F1033,Blackgram,355.4135193,Manual,3.44518274,2.585213367,20.20580683,Silty,Kharif,57474.54895
F1034,Blackgram,303.1601686,Flood,4.584586456,3.303218223,52.7978767,Peaty,Zaid,63595.71843
F1035,Blackgram,235.2439413,Sprinkler,1.825294016,3.865422218,29.14500646,Peaty,Kharif,72001.43837
F1036,Blackgram,47.20737108,Flood,4.027334174,0.656893221,56.34805237,Peaty,Zaid,50416.38051
F1037,Blackgram,48.1050186,Sprinkler,5.702672725,4.527146486,20.04480446,Clay,Rabi,78648.73203
F1038,Blackgram,11.14630141,Flood,7.590446265,4.370570674,42.2472694,Silty,Zaid,90208.5678
F1039,Blackgram,484.1727002,Rain-fed,1.030117258,2.55844444,50.26543215,Loamy,Kharif,84589.56922
F1040,Blackgram,12.57437109,Rain-fed,5.205796899,2.260263947,30.34753323,Clay,Kharif,32773.31777
F1041,Blackgram,60.51593555,Manual,3.673025888,1.728317187,27.72531458,Clay,Zaid,63635.48631
F1042,Blackgram,164.1523128,Flood,8.675396395,2.645045727,23.36392898,Silty,Zaid,37345.11249
F1043,Blackgram,405.6408234,Flood,7.439979837,0.699694986,33.05734306,Silty,Kharif,46943.15111
F1044,Blackgram,481.428405,Sprinkler,6.30197681,4.3348709,42.39377249,Clay,Rabi,99066.38153
F1045,Blackgram,397.1066438,Manual,3.495390811,0.659400658,24.63375427,Loamy,Rabi,39974.688
F1046,Blackgram,348.3745139,Flood,9.193051919,1.980731144,35.06781448,Clay,Zaid,64922.17074
F1047,Blackgram,265.437327,Manual,1.405906095,4.692152697,20.36289619,Silty,Rabi,73270.9014
F1048,Blackgram,52.48555381,Rain-fed,1.985208388,3.808456945,52.74717682,Loamy,Kharif,79172.54794
F1049,Blackgram,479.5036886,Flood,4.524671265,1.766259323,25.13794872,Silty,Zaid,69175.40784
F002,Carrot,18.67,Manual,4.77,4.36,42.91,Peaty,Kharif,68725.54
F017,Carrot,284.01,Manual,5.89,0.81,47.7,Loamy,Zaid,88301.46
F032,Carrot,350.42,Flood,8.4,2.94,24.34,Clay,Rabi,71580.87
F046,Carrot,112.8,Sprinkler,1.8,1.01,31.57,Clay,Kharif,79966.1
F1000,Carrot,14.78771524,Flood,4.947538773,3.27715244,54.72569018,Loamy,Kharif,47959.39486
F1001,Carrot,169.966041,Rain-fed,7.527318944,3.680497476,27.08599158,Clay,Kharif,97404.88127
F1002,Carrot,263.6787053,Manual,5.380020473,1.251688586,47.70503809,Loamy,Zaid,63848.19527
F1003,Carrot,53.05458458,Manual,8.860809143,1.254286473,53.52461159,Silty,Zaid,86419.47848
F1004,Carrot,181.8071963,Manual,9.106316776,0.665021421,57.78456878,Clay,Zaid,68515.85795
F1005,Carrot,26.26952331,Flood,4.795488342,3.813809068,47.32992113,Peaty,Zaid,33038.8773
F1006,Carrot,48.50346361,Manual,3.491450175,3.487120374,39.88699056,Peaty,Kharif,74320.59629
F1007,Carrot,204.4924053,Sprinkler,6.331152957,2.635838941,44.71388961,Silty,Zaid,96598.23395
F1008,Carrot,75.03071948,Rain-fed,9.211270111,4.29876702,54.75619938,Silty,Kharif,72112.82741
F1009,Carrot,288.0950156,Rain-fed,2.895959701,4.125515688,42.82438987,Clay,Zaid,87343.22016
F1010,Carrot,347.8378349,Sprinkler,6.606699252,3.13409464,21.21548239,Peaty,Zaid,91894.45243
F1011,Carrot,402.2874826,Flood,6.684041981,4.407220762,57.23794782,Peaty,Zaid,45965.58404
F1012,Carrot,108.0736197,Flood,7.598017202,1.426285445,47.58107004,Peaty,Kharif,44843.13879
F1013,Carrot,92.06646531,Rain-fed,2.184109166,1.003638287,47.06053543,Peaty,Kharif,72768.66922
F1014,Carrot,61.23824176,Manual,7.442424682,1.713873252,28.6270061,Peaty,Rabi,58771.99289
F1015,Carrot,321.8508223,Flood,9.181292686,0.756890852,46.35541881,Loamy,Zaid,88790.2912
F1016,Carrot,356.173106,Flood,2.61714798,2.890262876,35.75457623,Silty,Rabi,93001.61864
F1017,Carrot,25.47721096,Sprinkler,3.137889924,4.714725615,46.04931908,Loamy,Rabi,54739.49655
F1018,Carrot,468.7440007,Sprinkler,9.742555846,0.677045933,24.26372121,Peaty,Kharif,46580.93913
F1019,Carrot,35.46592899,Manual,2.628792574,1.049494613,46.31381218,Clay,Kharif,84636.78607
F1020,Carrot,275.2352043,Flood,8.68946584,2.534895627,59.97654903,Clay,Rabi,49236.42249
F1021,Carrot,357.4396545,Flood,5.430500708,4.702437579,21.92848155,Peaty,Zaid,87583.0023
F1022,Carrot,436.7748706,Sprinkler,3.22507967,1.922702472,59.08696737,Peaty,Kharif,59661.67776
F1023,Carrot,359.9025967,Flood,8.836749111,2.782556639,36.27631843,Clay,Zaid,76728.49295
F1024,Carrot,402.8467607,Rain-fed,5.007747295,0.687077866,54.83013801,Loamy,Zaid,36687.47197
F1025,Carrot,176.3305943,Sprinkler,5.633356185,1.167544404,51.29541936,Loamy,Rabi,73670.15273
F1026,Carrot,409.2643057,Manual,4.233100325,4.939835553,42.68065044,Peaty,Rabi,61623.73751
F1027,Carrot,49.25627473,Sprinkler,6.336557663,4.843034134,49.53796837,Loamy,Rabi,71062.59242
F1028,Carrot,448.4601615,Flood,2.471714853,0.522229914,55.14062245,Clay,Rabi,41760.99454
F1029,Carrot,278.3202643,Manual,4.51973383,4.783153034,36.16561287,Loamy,Kharif,81581.16215
F1030,Carrot,410.4759073,Sprinkler,9.724710901,3.37603972,33.08132646,Peaty,Kharif,90395.79543
F1031,Carrot,231.6359594,Rain-fed,3.323200894,4.405632325,46.70373542,Clay,Rabi,45171.78601
F1032,Carrot,325.3530706,Rain-fed,6.910629981,2.54632935,52.31383768,Loamy,Kharif,36700.01889
F1033,Carrot,267.9373039,Sprinkler,3.926710578,2.820182129,50.49140539,Silty,Rabi,31654.70102
F1034,Carrot,368.4788657,Rain-fed,7.961258131,2.699809611,51.91254595,Clay,Zaid,74938.00503
F1035,Carrot,49.99869119,Rain-fed,2.177862946,3.500889159,37.42333259,Clay,Zaid,72496.58253
F1036,Carrot,39.57252116,Rain-fed,9.728389406,1.128430646,52.71336865,Silty,Zaid,68268.81889
F1037,Carrot,131.0805847,Manual,5.084105872,0.634881154,24.80836221,Silty,Rabi,46236.29673
F1038,Carrot,88.17689326,Rain-fed,3.12445417,1.885684737,41.77956392,Clay,Zaid,57363.41971
F1039,Carrot,437.1739476,Rain-fed,1.661470726,3.671063432,20.23034642,Silty,Kharif,71613.34346
F1040,Carrot,117.4148538,Rain-fed,2.527821146,1.408340535,32.9834332,Peaty,Zaid,64773.68012
F1041,Carrot,488.1739754,Manual,5.677965537,3.53044595,34.65846139,Peaty,Zaid,99144.98642
F1042,Carrot,175.078938,Sprinkler,4.033028588,4.864604207,35.84690766,Peaty,Zaid,39550.78268
F1043,Carrot,99.23777869,Flood,8.459950293,0.922553221,47.81868827,Clay,Kharif,78660.11878
F1044,Carrot,396.9522685,Rain-fed,4.877987713,3.526709532,35.54232405,Silty,Rabi,58302.31377
F1045,Carrot,332.76681,Sprinkler,3.238428453,2.496875987,37.9477449,Silty,Kharif,59973.97304
F1000,Chickpea,361.6229052,Rain-fed,9.929422133,0.76173708,26.00194659,Clay,Zaid,65409.68851
F1001,Chickpea,349.2937141,Rain-fed,8.66282462,4.976898427,32.98703708,Clay,Kharif,88849.21196
F1002,Chickpea,495.7154369,Rain-fed,2.876594629,0.760012524,49.4942831,Clay,Kharif,81296.10813
F1003,Chickpea,72.91320183,Sprinkler,9.375356932,3.62765853,39.04072517,Loamy,Zaid,67956.60438
F1004,Chickpea,61.0137282,Sprinkler,2.047297581,4.926555164,35.03553141,Silty,Rabi,71324.33833
F1005,Chickpea,364.9260204,Manual,8.357047376,1.576310469,35.77905114,Clay,Rabi,65585.23828
F1006,Chickpea,293.4095893,Sprinkler,4.425609641,1.140122159,38.37787074,Clay,Kharif,50828.39159
F1007,Chickpea,144.3387266,Rain-fed,8.901768884,1.046232227,51.40066175,Clay,Rabi,69551.5395
F1008,Chickpea,48.9154908,Manual,8.812510211,1.864738164,55.68338756,Loamy,Rabi,78221.97114
